Category,Scenario,Objective,Mechanic,Important aspects/ loopholes,Detection Rule & Signal,Must Have Data,Data Fields,Effort,Effort Reason,Complexity,Complexity Reason,Feasibility,Feasibility Reason,Business Value,Business Value Reason,"Benefit to Costco (severity, frequency & Value)",Input on praticality from Business
Returns,Replenishment Return pattern (Buy-Return- Repurchase ),Continuously use products without full payment.,"Members repeatedly purchase, use, and return products, then repurchase the same items.",Difficulty in tracking repetitive return-purchase cycles; lack of flags for such patterns.,Detect recurring purchase-return cycles for same SKUs; flag short time between return and repurchase.,"Purchase-return-repurchase cycle logs, item tracking over time, member ID correlation","member_id, item_id, purchase_date, return_date, repurchase_date, cycle_count",High,High effort in tracking and correlating cycles.,High,Time-linked item traceability and flagging needed.,Medium,Purchase-return behavior can be tracked reliably.,High,Deters system gaming behavior for temporary use.,,
Returns,Excessive Bracketing,Try products in multiple variants and return most or all.,"Members purchase multiple sizes, colors, or versions of an item with the intent to keep only one and return the rest after use or trial.",Return policy does not limit quantity variation; hard to distinguish between genuine indecision and systematic abuse without pattern analysis.,Identify members with frequent multi-variant returns; track consistency of selection and high % return.,"Variant-level purchase and return logs, pattern analysis, item SKU diversity","member_id, item_id, size, color, return_ratio, return_window, multi_variant_flag",Medium,Moderate rule logic; needs pattern detection by SKU.,High,Requires variant-level behavior monitoring.,Medium,Challenging to distinguish genuine returns from abuse.,Medium,Reduces returns on non-preferred variants.,,
Returns (Recommended),Defective or counterfiet item return,Exchange inferior or fake products for genuine ones.,"Members return counterfeit or damaged items, claiming they are the original purchases.",Challenges in verifying product authenticity; potential for counterfeit items to enter resale channels.,Use product ID validation and counterfeit detection tools; flag mismatches between returned and sold items.,"Return logs, product condition upon return, counterfeit detection logs","return_id, item_id, product_verification_result, counterfeit_flag, return_date",High,High complexity due to authenticity check processes.,High,Counterfeit flag and inspection result integration.,Low,Product verification systems not always integrated.,Medium,Blocks entry of fake products back into inventory.,,
Member,Price Tag Switching,Pay less than actual item value,Member replaces price tag or barcode of a high-value item with that of a cheaper item to pay a lower price at checkout.,Lack of barcode-visual match at checkout; limited physical audits or self-checkout vulnerabilities.,Use computer vision or audit systems to detect mismatched SKU/barcode pricing at checkout.,"POS data, scanned price logs, SKU and visual match data, checkout camera footage","pos_transaction_id, scanned_barcode, actual_sku, price_paid, checkout_camera_id, audit_flag",Medium,Moderate to implement with audit trail data.,Medium,Match barcode to product database and video footage.,Medium,Audit systems exist in some stores; match required.,Medium,Stops hidden discounting at checkout.,,
Member,Stolen Merchandise Return,Gain credit or cash for unpaid items,Member picks up items without purchasing and later returns them for a refund or store credit using a fake receipt or no receipt.,Weak entry/exit controls; insufficient validation of receipt-item matching during returns.,Track returns without corresponding sales; flag mismatches between inventory additions and receipts used.,"Return logs, inventory movement, receipt validation, surveillance footage","return_id, product_id, inventory_status, sale_flag, receipt_id, receipt_verification_result",Low,Low effort using basic reconciliation logic.,Medium,Validate against sales with potential receipt fraud.,Medium,POS sales and receipt matching can be automated.,Medium,Recovers value lost from inventory with no sale.,,
Employee Return Desk,Refund to Own Shop Card,Illegitimately convert store funds for personal use,"Employee processes fake or unauthorized returns and issues the refund to a Shop Card they control or own, effectively extracting store credit.",Weak validation of refund destination; no restrictions preventing employees from issuing refunds to their own or related accounts.,Flag returns where refund is issued to card owned by employee; cross-check employee ID and card linkage.,"Refund destination data, employee vs card ownership link, return authorization logs","employee_id, refund_card_id, return_id, card_ownership_flag, authorization_flag",Medium,Needs verification of employee linkage to refund cards.,Medium,Match card to employee; ensure authorization tracing.,Medium,Ownership between employee and card trackable.,High,Prevents internal theft and refund manipulation.,,
Employee Return Desk,Fake Return Without a Sale,Extract store value without an actual transaction,Employee creates a return transaction for a non-existent sale using fabricated receipts or selecting items from inventory to 'return' fraudulently.,No sale record verification tied to returns; insufficient linkage between POS sales data and return processing systems.,Detect returns lacking corresponding sales; verify return items against inventory depletion.,"POS sales log, return record validation, inventory tracking","return_id, item_id, sale_match_flag, employee_id, transaction_timestamp",Medium,High setup for transaction traceability without sale reference.,High,Detect item returned without sale or inventory decrement.,Low,May lack original sale reference for validation.,Medium,Closes loophole for inventory padding.,,
Employee Return Desk,Fake Returns/Unauthorized Member Receipt Reuse for Refund without Product,"Steal value by exploiting previous legitimate returns
 Obtain refunds multiple times using the same receipt",Employee accesses a past member receipt where only one item was returned and fraudulently processes a return for another item without the member's knowledge.,Weak monitoring of repeat returns against the same receipt; no customer notification or validation step when subsequent returns occur.,Compare member receipt return pattern to actual usage; flag unauthorized returns post-partial legitimate return.,"Receipt usage tracking, return sequence data, member activity logs","receipt_id, return_sequence, item_id, member_id, return_flag, product_status",High,Receipts reuse validation adds operational complexity.,High,"Compare with previous return on same receipt, member access.",Medium,Time and sequence comparisons are feasible.,High,Controls use of old receipts for gains.,,
Employee Return Desk,Collusion with Customers,Share profit from fraudulent returns with accomplices,Employee assists friends or accomplices in processing unauthorized or inflated returns.,Weak controls on employee-customer interactions; lack of audit trails for high-value or frequent returns by the same associate.,Audit high-return associates for suspicious patterns; flag repeated high refunds for same customers.,"Employee return logs, customer ID correlation, return approval workflows","employee_id, customer_id, return_amount, return_count_by_employee, approval_timestamp",Medium,"Manual collusion trace, moderate rules with audit trails.",Medium,Multiple actors and customer linkages in pattern required.,Medium,Store-level records support collusion audits.,Medium,Flags partnership in organized return fraud.,,
Employee Return Desk,System Overriding,Bypass fraud checks or policy limits,"Employees with elevated access override refund limits, force returns, or modify return reasons to avoid scrutiny.",Lack of dual control or alerts for override activity; insufficient role-based access management.,Trigger alerts on override actions beyond threshold; monitor override justification and authorization path.,"Override logs, role-based access data, alert triggers on overrides","employee_id, override_action, threshold_exceeded_flag, override_justification, approval_path",High,"Overrides are logged, but require role-action mapping.",High,Override threshold and reason matching rules needed.,Medium,Log overrides; hard to validate intention or abuse.,Medium,Monitors abuse of system overrides for theft.,,
Employee Return Desk,Return After Inventory Removal,Steal product and later 'return' for refund,Employee takes merchandise from stock or shelf and processes it as a return to receive store credit or cash.,Inventory shrinkage not reconciled with return activity; surveillance gaps or lack of transaction-to-inventory linkage.,Flag inventory added through returns with no prior purchase; compare shelf count and transaction logs.,"Inventory movement logs, return time vs inventory logs, POS and return timestamps","item_id, inventory_count, return_entry_timestamp, purchase_entry_flag, employee_id",Medium,Moderate tracing return without initial sale.,Medium,Inventory audits and return triggers correlation needed.,Medium,Shelf and stock monitoring makes tracing possible.,High,Secures revenue lost through internal product theft.,,
